,smiles
384,O[C@H]OC(=O)
385,O[C@H]/N
386,O[C@H]=N
387,O[C@H]CCN(CC)C(=O)
388,O[C@H]C(=O)N(CC)
389,O-[N+]
390,O-[O-]
391,O-Cl
392,O-I
393,O-P(O)(O)
394,O-P(=O)(O)O
395,O-CC
396,O-P(=O)(O)
397,O-CC(=O)O
398,O-CCNS(=O)(=O)
399,O-CCCC
400,O-CCN
401,O-Cc1ccccc1
402,O-CCOCC
403,O-CC(=O)N
404,O-OCC
405,O-NC(=O)
406,O-C(F)
407,O-C(F)(F)
408,O-C(F)(F)F
409,O-CC(C(=O)O)
410,O-c1ccccn1
411,O-c1ccccc1
412,O-CC(O)
413,O-C1CCCCC1
414,O-C(=O)O
415,O-CC(=O)
416,O-CC(C)
417,O-CCNC(=O)
418,O-CCS
419,O-CCO
420,O-CCCO
421,O-C(C(=O)O)
422,O-C(C)
423,O-C(C)=O
424,O-c1ccc([N+](=O)[O-])cc1
425,O-CN
426,O-CCOC(=O)
427,O-OCO
428,O-CO
429,O-S(=O)(=O)
430,O-c2ccccc2
431,O-OCCOCC
432,O-OC(=O)
433,O-CCN(CC)C(=O)
434,O-C(=O)N(CC)
435,O3Cn3
436,O[N+][O-]
437,O[N+]Cl
438,O[N+]I
439,O[N+]P(O)(O)
440,O[N+]P(=O)(O)O
441,O[N+]CC
442,O[N+]P(=O)(O)
443,O[N+]CC(=O)O
444,O[N+]CCNS(=O)(=O)
445,O[N+]CCCC
446,O[N+]CCN
447,O[N+]Cc1ccccc1
448,O[N+]CCOCC
449,O[N+]CC(=O)N
450,O[N+]OCC
451,O[N+]NC(=O)
452,O[N+]C(F)
453,O[N+]C(F)(F)
454,O[N+]C(F)(F)F
455,O[N+]CC(C(=O)O)
456,O[N+]c1ccccn1
457,O[N+]c1ccccc1
458,O[N+]CC(O)
459,O[N+]C1CCCCC1
460,O[N+]C(=O)O
461,O[N+]CC(=O)
462,O[N+]CC(C)
463,O[N+]CCNC(=O)
464,O[N+]CCS
465,O[N+]CCO
466,O[N+]=O
467,O[N+]CCCO
468,O[N+]C(C(=O)O)
469,O[N+]C(C)
470,O[N+]C(C)=O
471,O[N+](O)
472,O[N+]c1ccc([N+](=O)[O-])cc1
473,O[N+]CN
474,O[N+]CCOC(=O)
475,O[N+]OCO
476,O[N+]CO
477,O[N+]S(=O)(=O)
478,O[N+]c2ccccc2
479,O[N+]OCCOCC
480,O[N+]OC(=O)
481,O[N+]/N
482,O[N+]=N
483,O[N+]CCN(CC)C(=O)
484,O[N+]C(=O)N(CC)
485,O/Cl
486,O/I
487,O/P(O)(O)
488,O/P(=O)(O)O
489,O/CC
490,O/P(=O)(O)
491,O/CC(=O)O
492,O/CCNS(=O)(=O)
493,O/CCCC
494,O/CCN
495,O/Cc1ccccc1
496,O/CCOCC
497,O/CC(=O)N
498,O/OCC
499,O/NC(=O)
500,O/C(F)
501,O/C(F)(F)
502,O/C(F)(F)F
503,O/CC(C(=O)O)
504,O/c1ccccn1
505,O/c1ccccc1
506,O/CC(O)
507,O/C1CCCCC1
508,O/C(=O)O
509,O/CC(=O)
510,O/CC(C)
511,O/CCNC(=O)
512,O/CCS
513,O/CCO
514,O/CCCO
515,O/C(C(=O)O)
516,O/C(C)
517,O/C(C)=O
518,O/c1ccc([N+](=O)[O-])cc1
519,O/CN
520,O/CCOC(=O)
521,O/OCO
522,O/CO
523,O/S(=O)(=O)
524,O/c2ccccc2
525,O/OCCOCC
526,O/OC(=O)
527,O/CCN(CC)C(=O)
528,O/C(=O)N(CC)
529,OCl=O
530,O\I
531,O\P(O)(O)
532,O\P(=O)(O)O
533,O\CC
534,O\P(=O)(O)
535,O\CC(=O)O
536,O\CCNS(=O)(=O)
537,O\CCCC
538,O\CCN
539,O\Cc1ccccc1
540,O\CCOCC
541,O\CC(=O)N
542,O\OCC
543,O\NC(=O)
544,O\C(F)
545,O\C(F)(F)
546,O\C(F)(F)F
547,O\CC(C(=O)O)
548,O\c1ccccn1
549,O\c1ccccc1
550,O\CC(O)
551,O\C1CCCCC1
552,O\C(=O)O
553,O\CC(=O)
554,O\CC(C)
555,O\CCNC(=O)
556,O\CCS
557,O\CCO
558,O\CCCO
559,O\C(C(=O)O)
560,O\C(C)
561,O\C(C)=O
562,O\c1ccc([N+](=O)[O-])cc1
563,O\CN
564,O\CCOC(=O)
565,O\OCO
566,O\CO
567,O\S(=O)(=O)
568,O\c2ccccc2
569,O\OCCOCC
570,O\OC(=O)
571,O\CCN(CC)C(=O)
572,O\C(=O)N(CC)
573,OIP(O)(O)
574,OIP(=O)(O)O
575,OICC
576,OIP(=O)(O)
577,OICC(=O)O
578,OICCNS(=O)(=O)
579,OICCCC
580,OICCN
581,OICc1ccccc1
582,OICCOCC
583,OICC(=O)N
584,OIOCC
585,OINC(=O)
586,OIC(F)
587,OIC(F)(F)
588,OIC(F)(F)F
589,OICC(C(=O)O)
590,OIc1ccccn1
591,OIc1ccccc1
592,OICC(O)
593,OIC1CCCCC1
594,OIC(=O)O
595,OICC(=O)
596,OICC(C)
597,OICCNC(=O)
598,OICCS
599,OICCO
600,OI=O
601,OICCCO
602,OIC(C(=O)O)
603,OIC(C)
604,OIC(C)=O
605,OI(O)
606,OIc1ccc([N+](=O)[O-])cc1
607,OICN
608,OICCOC(=O)
609,OIOCO
610,OICO
611,OIS(=O)(=O)
612,OIc2ccccc2
613,OIOCCOCC
614,OIOC(=O)
615,OI/N
616,OI=N
617,OICCN(CC)C(=O)
618,OIC(=O)N(CC)
619,OP(O)(O)P(=O)(O)O
620,OP(O)(O)CC
621,OP(O)(O)P(=O)(O)
622,OP(O)(O)CC(=O)O
623,OP(O)(O)CCNS(=O)(=O)
624,OP(O)(O)CCCC
625,OP(O)(O)CCN
626,OP(O)(O)Cc1ccccc1
627,OP(O)(O)CCOCC
628,OP(O)(O)CC(=O)N
629,OP(O)(O)OCC
630,OP(O)(O)NC(=O)
631,OP(O)(O)C(F)
632,OP(O)(O)C(F)(F)
633,OP(O)(O)C(F)(F)F
634,OP(O)(O)CC(C(=O)O)
635,OP(O)(O)c1ccccn1
636,OP(O)(O)c1ccccc1
637,OP(O)(O)CC(O)
638,OP(O)(O)C1CCCCC1
639,OP(O)(O)C(=O)O
640,OP(O)(O)CC(=O)
641,OP(O)(O)CC(C)
642,OP(O)(O)CCNC(=O)
643,OP(O)(O)CCS
644,OP(O)(O)CCO
645,OP(O)(O)=O
646,OP(O)(O)CCCO
647,OP(O)(O)C(C(=O)O)
648,OP(O)(O)C(C)
649,OP(O)(O)C(C)=O
650,OP(O)(O)(O)
651,OP(O)(O)c1ccc([N+](=O)[O-])cc1
652,OP(O)(O)CN
653,OP(O)(O)CCOC(=O)
654,OP(O)(O)OCO
655,OP(O)(O)CO
656,OP(O)(O)S(=O)(=O)
657,OP(O)(O)c2ccccc2
658,OP(O)(O)OCCOCC
659,OP(O)(O)OC(=O)
660,OP(O)(O)/N
661,OP(O)(O)=N
662,OP(O)(O)CCN(CC)C(=O)
663,OP(O)(O)C(=O)N(CC)
664,OCN(P(=O)(O)O)
665,OCN(C(=O)O)
666,OCN(CC(=O)O)
667,OCN(c2ccc(O)cc2)
668,OCN(CCCO)
669,OCN(O)
670,OCN(CCC(=O)O)
671,OCN(C(F)(F)F)
672,OCN(c1ccccn1)
673,OCN(CCO)
674,OCN(=O)
675,OCN(c1ccccc1)
676,OCN(C(C)=O)
677,OCN(S(=O)(=O)O)
678,OCN(c2ccccc2)
679,OCN(C)
680,OCN(C)O
681,OCN(CC)
682,OCc1cccc(n1)
683,OCc1cccc(ccn1)
684,OCc1cccc(O)c1
685,OCN(CP(=O)(O)O)
686,OCN(CC(=O)O)
687,OCN(CCC(=O)O)
688,OCN(Cc2ccc(O)cc2)
689,OCN(CCCCO)
690,OCN(CO)
691,OCN(CCCC(=O)O)
692,OCN(CC(F)(F)F)
693,OCN(Cc1ccccn1)
694,OCN(CCCO)
695,OCN(C=O)
696,OCN(Cc1ccccc1)
697,OCN(CC(C)=O)
698,OCN(CS(=O)(=O)O)
699,OCN(Cc2ccccc2)
700,OCN(CC)
701,OCN(CC)O
702,OCN(CCC)
703,OP(=O)(O)OCC
704,OP(=O)(O)OP(=O)(O)
705,OP(=O)(O)OCC(=O)O
706,OP(=O)(O)OCCNS(=O)(=O)
707,OP(=O)(O)OCCCC
708,OP(=O)(O)OCCN
709,OP(=O)(O)OCc1ccccc1
710,OP(=O)(O)OCCOCC
711,OP(=O)(O)OCC(=O)N
712,OP(=O)(O)OOCC
713,OP(=O)(O)ONC(=O)
714,OP(=O)(O)OC(F)
715,OP(=O)(O)OC(F)(F)
716,OP(=O)(O)OC(F)(F)F
717,OP(=O)(O)OCC(C(=O)O)
718,OP(=O)(O)Oc1ccccn1
719,OP(=O)(O)Oc1ccccc1
720,OP(=O)(O)OCC(O)
721,OP(=O)(O)OC1CCCCC1
722,OP(=O)(O)OC(=O)O
723,OP(=O)(O)OCC(=O)
724,OP(=O)(O)OCC(C)
725,OP(=O)(O)OCCNC(=O)
726,OP(=O)(O)OCCS
727,OP(=O)(O)OCCO
728,OP(=O)(O)OCCCO
729,OP(=O)(O)OC(C(=O)O)
730,OP(=O)(O)OC(C)
731,OP(=O)(O)OC(C)=O
732,OP(=O)(O)O(O)
733,OP(=O)(O)Oc1ccc([N+](=O)[O-])cc1
734,OP(=O)(O)OCN
735,OP(=O)(O)OCCOC(=O)
736,OP(=O)(O)OOCO
737,OP(=O)(O)OCO
738,OP(=O)(O)OS(=O)(=O)
739,OP(=O)(O)Oc2ccccc2
740,OP(=O)(O)OOCCOCC
741,OP(=O)(O)OOC(=O)
742,OP(=O)(O)O/N
743,OP(=O)(O)OCCN(CC)C(=O)
744,OP(=O)(O)OC(=O)N(CC)
745,ON1CCN(C1)
746,ON1CCN(CO)c1
747,OCCN(C(=O)O)
748,OCCN(CC(=O)O)
749,OCCN(c2ccc(O)cc2)
750,OCCN(CCCO)
751,OCCN(O)
752,OCCN(CCC(=O)O)
753,OCCN(C(F)(F)F)
754,OCCN(c1ccccn1)
755,OCCN(CCO)
756,OCCN(=O)
757,OCCN(c1ccccc1)
758,OCCN(C(C)=O)
759,OCCN(S(=O)(=O)O)
760,OCCN(c2ccccc2)
761,OCCN(C)
762,OCCN(C)O
763,OCCN(CC)
764,OCC1CN1
765,OCC1CCNCC1
766,OCC1CCCC1
767,OCC1OCC1
768,OCC1CCOCC1
769,OCC1CCC1
770,OCC1CCN1
771,OCCP(=O)(O)
772,OCCCC(=O)O
773,OCCCCNS(=O)(=O)
774,OCCCCCC
775,OCCCCN
776,OCCCc1ccccc1
777,OCCCCOCC
778,OCCCC(=O)N
779,OCCOCC
780,OCCNC(=O)
781,OCCC(F)
782,OCCC(F)(F)
783,OCCC(F)(F)F
784,OCCCC(C(=O)O)
785,OCCc1ccccn1
786,OCCc1ccccc1
787,OCCCC(O)
788,OCCC1CCCCC1
789,OCCC(=O)O
790,OCCCC(=O)
791,OCCCC(C)
792,OCCCCNC(=O)
793,OCCCCS
794,OCCCCO
795,OCC=O
796,OCCCCCO
797,OCCC(C(=O)O)
798,OCCC(C)
799,OCCC(C)=O
800,OCC(O)
801,OCCc1ccc([N+](=O)[O-])cc1
802,OCCCN
803,OCCCCOC(=O)
804,OCCOCO
805,OCCCO
806,OCCS(=O)(=O)
807,OCCc2ccccc2
808,OCCOCCOCC
809,OCCOC(=O)
810,OCC/N
811,OCC=N
812,OCCCCN(CC)C(=O)
813,OCCC(=O)N(CC)
814,OP(=O)(O)CC(=O)O
815,OP(=O)(O)CCNS(=O)(=O)
816,OP(=O)(O)CCCC
817,OP(=O)(O)CCN
818,OP(=O)(O)Cc1ccccc1
819,OP(=O)(O)CCOCC
820,OP(=O)(O)CC(=O)N
821,OP(=O)(O)OCC
822,OP(=O)(O)NC(=O)
823,OP(=O)(O)C(F)
824,OP(=O)(O)C(F)(F)
825,OP(=O)(O)C(F)(F)F
826,OP(=O)(O)CC(C(=O)O)
827,OP(=O)(O)c1ccccn1
828,OP(=O)(O)c1ccccc1
829,OP(=O)(O)CC(O)
830,OP(=O)(O)C1CCCCC1
831,OP(=O)(O)C(=O)O
832,OP(=O)(O)CC(=O)
833,OP(=O)(O)CC(C)
834,OP(=O)(O)CCNC(=O)
835,OP(=O)(O)CCS
836,OP(=O)(O)CCO
837,OP(=O)(O)=O
838,OP(=O)(O)CCCO
839,OP(=O)(O)C(C(=O)O)
840,OP(=O)(O)C(C)
841,OP(=O)(O)C(C)=O
842,OP(=O)(O)(O)
843,OP(=O)(O)c1ccc([N+](=O)[O-])cc1
844,OP(=O)(O)CN
845,OP(=O)(O)CCOC(=O)
846,OP(=O)(O)OCO
847,OP(=O)(O)CO
848,OP(=O)(O)S(=O)(=O)
849,OP(=O)(O)c2ccccc2
850,OP(=O)(O)OCCOCC
851,OP(=O)(O)OC(=O)
852,OP(=O)(O)/N
853,OP(=O)(O)=N
854,OP(=O)(O)CCN(CC)C(=O)
855,OP(=O)(O)C(=O)N(CC)
856,OCN1CCN(O)c1
857,OCN1CCNCC1
858,OCN1CCCC1
859,OCN1OCC1
860,OCN1CCOCC1
861,OCN1CCC1
862,OCN1CCN1
863,OCCN(CCC(=O)O)
864,OCCN(Cc2ccc(O)cc2)
865,OCCN(CCCCO)
866,OCCN(CO)
867,OCCN(CCCC(=O)O)
868,OCCN(CC(F)(F)F)
869,OCCN(Cc1ccccn1)
870,OCCN(CCCO)
871,OCCN(C=O)
872,OCCN(Cc1ccccc1)
873,OCCN(CC(C)=O)
874,OCCN(CS(=O)(=O)O)
875,OCCN(Cc2ccccc2)
876,OCCN(CC)
877,OCCN(CC)O
878,OCCN(CCC)
879,OCN2CCN(n2)
880,OCN2CCN(CCOCC2)
881,OCC(=O)OCCNS(=O)(=O)
882,OCC(=O)OCCCC
883,OCC(=O)OCCN
884,OCC(=O)OCc1ccccc1
885,OCC(=O)OCCOCC
886,OCC(=O)OCC(=O)N
887,OCC(=O)OOCC
888,OCC(=O)ONC(=O)
889,OCC(=O)OC(F)
890,OCC(=O)OC(F)(F)
891,OCC(=O)OC(F)(F)F
892,OCC(=O)OCC(C(=O)O)
893,OCC(=O)Oc1ccccn1
894,OCC(=O)Oc1ccccc1
895,OCC(=O)OCC(O)
896,OCC(=O)OC1CCCCC1
897,OCC(=O)OC(=O)O
898,OCC(=O)OCC(=O)
899,OCC(=O)OCC(C)
900,OCC(=O)OCCNC(=O)
901,OCC(=O)OCCS
902,OCC(=O)OCCO
903,OCC(=O)OCCCO
904,OCC(=O)OC(C(=O)O)
905,OCC(=O)OC(C)
906,OCC(=O)OC(C)=O
907,OCC(=O)O(O)
908,OCC(=O)Oc1ccc([N+](=O)[O-])cc1
909,OCC(=O)OCN
910,OCC(=O)OCCOC(=O)
911,OCC(=O)OOCO
912,OCC(=O)OCO
913,OCC(=O)OS(=O)(=O)
914,OCC(=O)Oc2ccccc2
915,OCC(=O)OOCCOCC
916,OCC(=O)OOC(=O)
917,OCC(=O)O/N
918,OCC(=O)OCCN(CC)C(=O)
919,OCC(=O)OC(=O)N(CC)
920,OCCNS(=O)(=O)CCCC
921,OCCNS(=O)(=O)CCN
922,OCCNS(=O)(=O)Cc1ccccc1
923,OCCNS(=O)(=O)CCOCC
924,OCCNS(=O)(=O)CC(=O)N
925,OCCNS(=O)(=O)OCC
926,OCCNS(=O)(=O)NC(=O)
927,OCCNS(=O)(=O)C(F)
928,OCCNS(=O)(=O)C(F)(F)
929,OCCNS(=O)(=O)C(F)(F)F
930,OCCNS(=O)(=O)CC(C(=O)O)
931,OCCNS(=O)(=O)c1ccccn1
932,OCCNS(=O)(=O)c1ccccc1
933,OCCNS(=O)(=O)CC(O)
934,OCCNS(=O)(=O)C1CCCCC1
935,OCCNS(=O)(=O)C(=O)O
936,OCCNS(=O)(=O)CC(=O)
937,OCCNS(=O)(=O)CC(C)
938,OCCNS(=O)(=O)CCNC(=O)
939,OCCNS(=O)(=O)CCS
940,OCCNS(=O)(=O)CCO
941,OCCNS(=O)(=O)CCCO
942,OCCNS(=O)(=O)C(C(=O)O)
943,OCCNS(=O)(=O)C(C)
944,OCCNS(=O)(=O)C(C)=O
945,OCCNS(=O)(=O)(O)
946,OCCNS(=O)(=O)c1ccc([N+](=O)[O-])cc1
947,OCCNS(=O)(=O)CN
948,OCCNS(=O)(=O)CCOC(=O)
949,OCCNS(=O)(=O)OCO
950,OCCNS(=O)(=O)CO
951,OCCNS(=O)(=O)S(=O)(=O)
952,OCCNS(=O)(=O)c2ccccc2
953,OCCNS(=O)(=O)OCCOCC
954,OCCNS(=O)(=O)OC(=O)
955,OCCNS(=O)(=O)/N
956,OCCNS(=O)(=O)CCN(CC)C(=O)
957,OCCNS(=O)(=O)C(=O)N(CC)
958,OC1CCCC[C@@H]1
959,OC1CCCC[C@H]1
960,OC1CCCCn1
961,OC1CCCCCCNCC1
962,OC1CCCCC1CO
963,OC1CCCCCCCC1
964,OC1CCCCN1
965,OC1CCCCOCC1
966,OC1CCCCCCOCC1
967,OC1CCCCC1
968,OC1CCCCCCC1
969,OC1CCCCc1
970,OC1CCCCCCN1
971,OC1CCCCc1O
972,OC1N(O)c1
973,O[C@@H]1CCNCC1
974,O[C@@H]1CCCC1
975,O[C@@H]1OCC1
976,O[C@@H]1CCOCC1
977,O[C@@H]1CCC1
978,O[C@@H]1CCN1
979,OCCCCCCN
980,OCCCCCc1ccccc1
981,OCCCCCCOCC
982,OCCCCCC(=O)N
983,OCCCCOCC
984,OCCCCNC(=O)
985,OCCCCC(F)
986,OCCCCC(F)(F)
987,OCCCCC(F)(F)F
988,OCCCCCC(C(=O)O)
989,OCCCCc1ccccn1
990,OCCCCc1ccccc1
991,OCCCCCC(O)
992,OCCCCC1CCCCC1
993,OCCCCC(=O)O
994,OCCCCCC(=O)
995,OCCCCCC(C)
996,OCCCCCCNC(=O)
997,OCCCCCCS
998,OCCCCCCO
999,OCCCC=O
1000,OCCCCCCCO
1001,OCCCCC(C(=O)O)
1002,OCCCCC(C)
1003,OCCCCC(C)=O
1004,OCCCC(O)
1005,OCCCCc1ccc([N+](=O)[O-])cc1
1006,OCCCCCN
1007,OCCCCCCOC(=O)
1008,OCCCCOCO
1009,OCCCCCO
1010,OCCCCS(=O)(=O)
1011,OCCCCc2ccccc2
1012,OCCCCOCCOCC
1013,OCCCCOC(=O)
1014,OCCCC/N
1015,OCCCC=N
1016,OCCCCCCN(CC)C(=O)
1017,OCCCCC(=O)N(CC)
1018,O[C@H]1CCNCC1
1019,O[C@H]1CCCC1
1020,O[C@H]1OCC1
1021,O[C@H]1CCOCC1
1022,O[C@H]1CCC1
1023,O[C@H]1CCN1
1024,ON(O)
1025,ON(CCC(=O)O)
