smiles,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_P_atoms,num_of_S_atoms
Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa75a0>,19,3,2,0,1
CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa7220>,17,2,4,0,0
CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa68f0>,27,3,4,0,0
N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa7920>,18,0,3,0,0
Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa76f0>,18,3,3,0,0
CNC(=O)c1ccc(/C=C/C(=O)Nc2c(C)cc(C)nc2Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6f10>,18,2,3,0,0
CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6ff0>,21,1,6,0,0
C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa7060>,19,3,1,0,0
CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6e30>,20,2,3,0,1
CCOC(=O)c1nnc2ccccc2c1N1CC[C@@H]([NH+](CC)CC)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c7fa6ea0>,19,2,4,0,0
Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c820>,18,3,3,0,1
O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cf20>,15,3,0,0,0
CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c890>,14,2,2,0,1
O=C(NCc1nccc2ccccc12)c1ccc[nH]c1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c580>,16,2,3,0,0
CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c660>,14,3,1,0,1
O=[N+]([O-])c1c(Nc2cccc3ncccc23)ncnc1N1CCN(c2cccc(Cl)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c6d0>,23,2,7,0,0
O=C(CCCO)Nc1ccc(F)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c7b0>,10,2,1,0,0
NC(=O)CCOc1ccc(NC(=O)C[C@H]2CCc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c5f0>,20,3,2,0,0
COc1cc(C)ccc1OCC(=O)Nc1nnc(C)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c740>,13,3,3,0,1
CC(=O)c1c(O)cccc1COc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3d2a0>,15,3,0,0,0
CCn1cc(S(=O)(=O)N2CCCCC[C@@H]2c2cc(-c3ccc(F)cc3)no2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c970>,20,3,4,0,1
COC(=O)[C@](NC(=O)c1cccc(Cl)c1)(Nc1ccc(Br)c[nH+]1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c900>,16,3,3,0,0
Cc1[nH]c2ccc(C(=O)Nc3cc(C(C)(C)C)nn3-c3ncccn3)cc2c1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3c9e0>,22,1,6,0,0
Cc1noc(C)c1C[C@H](C)C(=O)N[C@@H](C)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3ca50>,17,2,2,0,0
CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cac0>,14,2,4,0,0
COc1cccc(-c2cncc3ccccc23)c1C(=O)N(C(C)C)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cb30>,23,2,2,0,0
COc1ccc([C@@H](C)NC(=O)Cc2cccc3ccccc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cc10>,21,2,1,0,0
O=C1C[C@H](c2nc(-c3cccnc3)no2)CN1c1cccc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cc80>,17,2,4,0,0
C[C@H]1CCCN(c2ccc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc2[N+](=O)[O-])C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3ccf0>,23,4,4,0,0
C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3d070>,18,3,1,0,1
O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1nncs1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3ceb0>,12,4,6,0,2
CN(CCc1ccc(F)cc1)c1cc(Br)cc(F)c1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cba0>,16,1,2,0,0
COc1ccccc1NC(=O)CSc1ccc(-c2ccccc2OC)nn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3cd60>,20,3,3,0,1
Cc1occc1C(=O)/C(C#N)=C\c1cccc(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3d000>,16,2,1,0,0
COc1ccc2c(c1)N(C(=O)CCSc1ccccn1)C[C@@H](C)O2,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3d460>,18,3,2,0,1
CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4c3d4d0>,16,1,3,0,0
CCC[C@]1(C(=O)N[C@@H]2CONC2=O)CC[NH2+]C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b175a0>,11,3,3,0,0
O=C(c1cc2cc([N+](=O)[O-])ccc2oc1=O)N1CCN(Cc2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17610>,21,5,3,0,0
CCn1c(CC2CC[NH2+]CC2)nn(CCO)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17680>,12,2,4,0,0
C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b176f0>,20,1,4,0,1
CCO[C@H]1C(=O)O[C@H]([C@@H](O)CO)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b177d0>,8,6,0,0,0
Cc1ccc(-c2nnc(C[NH+](CCO)[C@H]3CCc4ccccc43)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17840>,21,2,3,0,0
Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17920>,19,1,3,0,0
C[C@@H](NC(=O)Nc1ccn(-c2ncccc2Cl)n1)[C@@H]1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17990>,15,2,5,0,0
COc1cc(S(=O)(=O)N2CCN=C2Cc2ccccc2)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17a00>,17,3,2,0,1
COc1ccc(OC)c(/C=C2\Oc3cc(OC(=O)c4ccncc4)cc(C)c3C2=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b178b0>,24,6,1,0,0
COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17a70>,21,3,2,0,0
C[C@H](Cc1cccs1)N(C)C[C@@H]1CCCC[C@@H]1[NH3+],<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17ae0>,15,0,2,0,1
C[C@H]([NH3+])c1nc2cc(C(F)(F)F)ccc2n1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17b50>,11,0,3,0,0
COc1cccc(CN2CCc3nnc(CCc4ccccc4)n3CC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17bc0>,22,1,4,0,0
O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17c30>,10,3,2,0,1
COCC[C@H](C)C(=O)N[C@@H](C)COC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17ca0>,10,3,1,0,0
Cc1cc(N(C)C)ccc1NC(=O)c1ccc(CN2CC[NH+](C)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17d10>,22,1,4,0,0
C[C@H](CNC(=O)[C@H]1CC[NH2+][C@@H]1C)C[NH+]1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17d80>,14,1,3,0,0
CN(C)c1ccc([C@H](CNC(=O)C(=O)Nc2ccccc2C#N)N2CC[NH+](C)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17760>,24,2,6,0,0
CCOc1ncnc(S(=O)(=O)CC)c1N,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14660>,8,3,3,0,1
CC[C@@H](NC(=O)N(C)Cc1ccc(-c2ccccc2)cc1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b142e0>,23,1,3,0,0
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@H]1CCCN1S(=O)(=O)c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15cb0>,24,4,3,0,1
CC[C@@H](C)CNc1nc2ccc(Cl)cc2s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14430>,12,0,2,0,1
Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15310>,20,3,4,0,2
CCc1nnc(-c2cc3ccccc3n2CC(=O)NC(C)(C)C)o1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15700>,18,2,4,0,0
CCc1ccc(NC(=O)c2nn(-c3ccc(CC)cc3)ccc2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17f40>,21,2,3,0,0
Cc1ccc(C(=O)N[C@H]2CCC[NH2+][C@H]2C)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15380>,14,1,2,0,0
C[C@H](OC(=O)c1nc(C2CC2)n2ccccc12)c1cnc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15540>,22,2,3,0,0
CCCCOc1ccccc1C[C@@H]([NH3+])C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f09c6b155b0>,13,3,1,0,0
CCC[C@@H]1CN(C(=O)C(=O)Nc2ccc(C)nc2Cl)CCO1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15620>,15,3,3,0,0
C[C@H]1C(=O)N(c2ccc3c(c2)CCC3)CCN1C(=O)c1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15af0>,21,2,2,0,0
COC(=O)C1(NC(=O)[C@H]2C[C@H]2c2c(F)cccc2F)CCSCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15b60>,17,3,1,0,1
N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15bd0>,14,2,2,0,0
COC1CC[NH+](CCNc2nccn(C)c2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15c40>,13,2,4,0,0
C=CCN(Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1cc(OC)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b17df0>,18,4,3,0,0
Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15e00>,15,2,3,0,0
O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14270>,11,5,4,0,1
Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15d20>,22,5,4,0,0
CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14740>,25,1,4,0,0
COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14580>,22,3,4,0,0
CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b14510>,14,2,4,0,0
O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b143c0>,19,3,5,0,0
CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b15460>,20,2,4,0,1
Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af1a10>,17,2,2,0,1
CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0740>,19,4,3,0,1
CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0040>,11,2,2,0,0
Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af00b0>,23,2,2,0,0
CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0120>,9,3,0,0,1
C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0190>,12,3,2,0,1
CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0200>,16,3,1,0,0
CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0270>,14,1,2,0,1
O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af02e0>,20,1,6,0,1
CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0350>,23,4,2,0,0
Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af03c0>,22,1,6,0,0
CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0430>,19,2,6,0,0
Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af04a0>,12,1,3,0,1
O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0510>,13,3,3,0,0
CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0580>,17,2,2,0,0
COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af05f0>,20,5,2,0,1
CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af0660>,16,3,2,0,2
CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af06d0>,19,3,3,0,0
Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af1850>,20,2,5,0,0
N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af1380>,16,1,4,0,0
O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af1000>,13,3,4,0,1
COc1cccc(COc2ccc(OC)cc2CCl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af15b0>,16,3,0,0,0
CC[C@H](NC(=O)NCc1c(C)noc1C)c1ccc(OC)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af13f0>,17,3,3,0,0
CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6af1930>,18,3,3,0,1
CSc1ccc(/C=c2\sc3ncnn3c2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc0bbd80>,12,1,3,0,2
COc1ccc(C(=O)/C=C(\C)Nc2ccc(F)cc2F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09d78142e0>,17,2,1,0,0
O=C(C=C1CCSCC1)N[C@@H]1CCC[C@H]1Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f09d78143c0>,19,1,1,0,1
C[C@@H](Sc1nc(/C=C/c2cccs2)n[nH]1)C(=O)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc730900>,15,2,4,0,2
Cc1cccc(C(=O)N[C@@H](C(=O)N2CCC[C@@H](C)C2)C(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc730890>,19,2,2,0,0
COC(=O)[C@@H](C)Sc1nnc(Nc2cccc(Br)c2)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc730350>,12,2,3,0,2
Cc1cnc(C(=O)Nc2ccc(N(C)C3CC[NH+](C)CC3)cc2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc7309e0>,19,1,5,0,0
CC(=O)Nc1nc2ccc(NC(=O)NCc3ccccc3)cc2s1,<rdkit.Chem.rdchem.Mol object at 0x7f09cc7302e0>,17,2,4,0,1
C=CCN1C(=O)/C(=C/c2ccccc2F)S/C1=N\S(=O)(=O)c1cccs1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a960>,17,3,2,0,3
CC[C@H]1CC(=O)N(Cc2ccccc2C#CCCO)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a8f0>,17,2,1,0,0
COc1ccc(F)cc1C(=O)Nc1nccs1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a880>,11,2,2,0,1
CC[C@@H](CC(=O)NC1(C(=O)OC)CCSCC1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a810>,18,3,1,0,1
Cc1ccc(C)c(-n2c(SCCCCCO)nc3ccccc3c2=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a7a0>,21,2,2,0,1
CC[C@@H](C)[C@@H]([NH3+])c1ccc(Cl)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a730>,9,0,1,0,1
COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a6c0>,16,2,2,0,0
CC[C@@H]1CCCCN1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a650>,18,3,3,0,0
CCOc1cccc(NC(=O)NCc2ccc(N3CCSCC3)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a5e0>,20,2,3,0,1
Cc1cccc(NC(=O)CN2CCN(c3ccc4c(c3)OCCO4)C2=O)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a570>,19,4,4,0,0
C=C(C)C(=O)N[C@H](C)c1nc2ccccc2n1CCC(=O)N1CCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a500>,22,2,4,0,0
CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a490>,19,2,2,0,1
CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a420>,20,3,3,0,0
Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N1CC[C@H]([NH+]2CCCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a3b0>,17,4,4,0,0
CCOCCCNC(=O)N[C@@H]1CCC[C@@H](CC)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a340>,14,2,2,0,0
O=C(Cc1cccc(F)c1F)Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a2d0>,13,1,2,0,0
COc1ccccc1NC(=O)[C@@H]1CCCN(C(=O)Nc2cccs2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a260>,18,3,3,0,1
C[C@H]1CCC[C@](C#N)([C@]2(O)CCCCC2(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a1f0>,16,1,1,0,0
O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a180>,21,1,3,0,0
CCCC(=O)N[C@@H]1CCC[NH+](Cc2ncccc2C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1a110>,16,1,3,0,0
O=C(NCc1cccs1)C1(c2cccc(Cl)c2)CCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18e40>,16,1,1,0,1
